trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
803201,12:00:00,12:00:00,802,1,,,,,,0,1
803201,12:15:00,12:15:00,800,2,DROP OFF ONLY,1,,,,1.346,1
803101,12:00:00,12:00:00,800,1,,,,,,0,1
803101,12:05:00,12:05:00,801,2,,,,,,0.388,1
803101,12:15:00,12:15:00,802,3,Downtown,,,,,2.016,1
803101,12:30:00,12:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803102,12:30:00,12:30:00,800,1,,,,,,0,1
803102,12:35:00,12:35:00,801,2,,,,,,0.388,1
803102,12:45:00,12:45:00,802,3,Downtown,,,,,2.016,1
803102,13:00:00,13:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803103,13:00:00,13:00:00,800,1,,,,,,0,1
803103,13:05:00,13:05:00,801,2,,,,,,0.388,1
803103,13:15:00,13:15:00,802,3,Downtown,,,,,2.016,1
803103,13:30:00,13:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803104,13:30:00,13:30:00,800,1,,,,,,0,1
803104,13:35:00,13:35:00,801,2,,,,,,0.388,1
803104,13:45:00,13:45:00,802,3,Downtown,,,,,2.016,1
803104,14:00:00,14:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803105,14:00:00,14:00:00,800,1,,,,,,0,1
803105,14:05:00,14:05:00,801,2,,,,,,0.388,1
803105,14:15:00,14:15:00,802,3,Downtown,,,,,2.016,1
803105,14:30:00,14:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803106,14:30:00,14:30:00,800,1,,,,,,0,1
803106,14:35:00,14:35:00,801,2,,,,,,0.388,1
803106,14:45:00,14:45:00,802,3,Downtown,,,,,2.016,1
803106,15:00:00,15:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803107,15:00:00,15:00:00,800,1,,,,,,0,1
803107,15:05:00,15:05:00,801,2,,,,,,0.388,1
803107,15:15:00,15:15:00,802,3,Downtown,,,,,2.016,1
803107,15:30:00,15:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803108,15:30:00,15:30:00,800,1,,,,,,0,1
803108,15:35:00,15:35:00,801,2,,,,,,0.388,1
803108,15:45:00,15:45:00,802,3,Downtown,,,,,2.016,1
803108,16:00:00,16:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803109,16:00:00,16:00:00,800,1,,,,,,0,1
803109,16:05:00,16:05:00,801,2,,,,,,0.388,1
803109,16:15:00,16:15:00,802,3,Downtown,,,,,2.016,1
803109,16:30:00,16:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803110,16:30:00,16:30:00,800,1,,,,,,0,1
803110,16:35:00,16:35:00,801,2,,,,,,0.388,1
803110,16:45:00,16:45:00,802,3,Downtown,,,,,2.016,1
803110,17:00:00,17:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803111,17:00:00,17:00:00,800,1,,,,,,0,1
803111,17:05:00,17:05:00,801,2,,,,,,0.388,1
803111,17:15:00,17:15:00,802,3,Downtown,,,,,2.016,1
803111,17:30:00,17:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803112,17:30:00,17:30:00,800,1,,,,,,0,1
803112,17:35:00,17:35:00,801,2,,,,,,0.388,1
803112,17:45:00,17:45:00,802,3,Downtown,,,,,2.016,1
803112,18:00:00,18:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803113,18:00:00,18:00:00,800,1,,,,,,0,1
803113,18:05:00,18:05:00,801,2,,,,,,0.388,1
