arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,100,1,1,
,,2101,2,0,
,,2102,3,1,
,,1617,4,0,
,,1616,5,0,
,,1615,6,1,
,,1509,7,0,
,,2448,8,0,
,,2516,9,0,
,,1505,10,1,
,,101,11,1,
