stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
200,1,1,0,,,
201,2,1,3.367,,,
2749,3,0,4.309,,,
2744,4,1,4.679,,1,
