stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
101,1,1,0,,,
2670,2,1,0.499,,,
2671,3,0,0.885,,,
2672,4,0,1.375,,,
2673,5,0,1.678,,,
2674,6,1,1.886,,,
2675,7,0,2.262,,,
2676,8,1,2.884,,,
2677,9,0,3.506,,,
2678,10,0,4.14,,,
2679,11,0,4.729,,,
1341,12,1,5.343,,1,
