trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
10407,12:00:00,12:00:00,2375,1,,,,,,,1
10407,12:00:59,12:00:59,2374,2,,,,,,,0
10407,12:02:01,12:02:01,1385,3,,,,,,,0
10407,12:03:00,12:03:00,2670,4,,,,,,,1
10407,12:04:00,12:04:00,2671,5,,,,,,,0
10407,12:05:00,12:05:00,2672,6,,,,,,,0
10407,12:06:00,12:06:00,2673,7,,,,,,,0
10407,12:07:00,12:07:00,2674,8,,,,,,,1
10407,12:07:45,12:07:45,2675,9,,,,,,,0
10407,12:09:30,12:09:30,2676,10,,,,,,,1
10407,12:10:45,12:10:45,2677,11,,,,,,,0
10407,12:12:00,12:12:00,2678,12,,,,,,,0
10407,12:13:15,12:13:15,2679,13,,,,,,,0
10407,12:14:30,12:14:30,2375,14,,,,,,,1
10201,7:30:00,7:30:00,2375,1,,,,,,,1
10201,7:30:49,7:30:49,2374,2,,,,,,,0
10201,7:31:40,7:31:40,1385,3,,,,,,,0
10201,7:32:30,7:32:30,2670,4,,,,,,,1
10201,7:33:37,7:33:37,2671,5,,,,,,,0
10201,7:34:45,7:34:45,2672,6,,,,,,,0
10201,7:35:52,7:35:52,2673,7,,,,,,,0
10201,7:37:00,7:37:00,2674,8,,,,,,,1
10201,7:37:45,7:37:45,2675,9,,,,,,,0
10201,7:39:30,7:39:30,2676,10,,,,,,,1
10201,7:41:00,7:41:00,2677,11,,,,,,,0
10201,7:42:30,7:42:30,2678,12,,,,,,,0
10201,7:44:00,7:44:00,2679,13,,,,,,,0
10201,7:45:30,7:45:30,2375,14,,,,,,,1
10202,7:50:00,7:50:00,2375,1,,,,,,,1
10202,7:50:53,7:50:53,2374,2,,,,,,,0
10202,7:51:47,7:51:47,1385,3,,,,,,,0
10202,7:52:40,7:52:40,2670,4,,,,,,,1
10202,7:53:40,7:53:40,2671,5,,,,,,,0
10202,7:54:40,7:54:40,2672,6,,,,,,,0
10202,7:55:40,7:55:40,2673,7,,,,,,,0
