stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
2375,1,1,0,,,
2374,2,0,0.37,,,
1385,3,0,0.987,,,
2670,4,1,2.193,,,
2671,5,0,2.579,,,
2672,6,0,3.069,,,
2673,7,0,3.372,,,
2674,8,1,3.58,,,
2675,9,0,3.956,,,
2676,10,1,4.578,,,
2677,11,0,5.2,,,
2678,12,0,5.834,,,
2679,13,0,6.423,,,
122,14,1,7.029,,1,
