trip_id,route_id,start_stop,start_time,end_stop,end_time
10601,BT_LOOP,2375,15:10:00,2375,15:24:30
10602,BT_LOOP,2375,15:50:00,2375,16:04:30
10603,BT_LOOP,2375,16:10:00,2375,16:24:30
10604,BT_LOOP,2375,16:30:00,2375,16:44:30
10605,BT_LOOP,2375,17:10:00,2375,17:24:30
10606,BT_LOOP,2375,17:30:00,2375,17:44:30
10607,BT_LOOP,2375,17:50:00,2375,18:04:30
10608,BT_LOOP,2375,18:30:00,2375,18:44:30
10609,BT_LOOP,2375,18:50:00,2375,19:04:30
10610,BT_LOOP,2375,19:10:00,2375,19:24:30
10611,BT_LOOP,2375,20:10:00,2375,20:24:30
10612,BT_LOOP,2375,20:30:00,2375,20:44:30
10613,BT_LOOP,2375,20:50:00,2375,21:04:30
10614,BT_LOOP,2375,21:30:00,2375,21:44:30
10615,BT_LOOP,2375,21:50:00,2375,22:04:30
