trip_id,route_id,start_stop,start_time,end_stop,end_time
10301,EG_LOOP,1341,7:30:00,7:46:30,1341
10302,EG_LOOP,1341,7:50:00,8:06:30,1341
10303,BT_LOOP,2375,8:10:00,8:24:10,2375
10304,EG_LOOP,1341,8:50:00,9:06:30,1341
10305,BT_LOOP,2375,9:20:00,9:34:10,2375
10306,BT_LOOP,2375,9:40:00,9:54:10,2375
10307,BT_LOOP,2375,10:50:00,11:04:20,2375
10308,BT_LOOP,2375,11:20:00,11:34:20,2375
10309,BT_LOOP,2375,11:40:00,11:54:20,2375
10310,BT_LOOP,2375,12:10:00,12:24:30,2375
10311,BT_LOOP,2375,12:30:00,12:44:30,2375
10312,EG_LOOP,1341,13:40:00,13:56:30,1341
10313,BT_LOOP,2375,14:10:00,14:24:30,2375
