trip_id,route_id,start_stop,start_time,end_stop,end_time
10501,EG_LOOP,1341,15:20:00,1341,15:36:30
10502,EG_LOOP,1341,15:40:00,1341,15:56:30
10503,EG_LOOP,1341,16:20:00,1341,16:36:30
10504,EG_LOOP,1341,16:40:00,1341,16:56:30
10505,EG_LOOP,1341,17:40:00,1341,17:56:30
10506,EG_LOOP,1341,18:00:00,1341,18:16:30
10507,EG_LOOP,1341,18:20:00,1341,18:36:30
10508,EG_LOOP,1341,19:00:00,1341,20:36:30
10509,EG_LOOP,1341,19:20:00,1341,20:56:30
10510,EG_LOOP,1341,20:20:00,1341,19:16:30
10511,EG_LOOP,1341,20:40:00,1341,19:36:30
10512,EG_LOOP,1341,21:00:00,1341,21:16:30
10513,EG_LOOP,1341,21:20:00,1341,21:36:30
