trip_id,route_id,start_stop,start_time,end_stop,end_time
10201,BT_LOOP,2375,7:30:00,2375,7:45:30
10202,BT_LOOP,2375,7:50:00,2375,8:04:10
10203,BT_LOOP,2375,8:30:00,2375,8:44:10
10204,BT_LOOP,2375,8:50:00,2375,9:04:10
10205,BT_LOOP,2375,9:10:00,2375,9:24:10
10206,BT_LOOP,2375,9:50:00,2375,10:04:20
10207,BT_LOOP,2375,10:10:00,2375,10:24:20
10208,BT_LOOP,2375,10:30:00,2375,10:44:20
10209,BT_LOOP,2375,11:10:00,2375,11:24:20
10210,BT_LOOP,2375,11:30:00,2375,11:44:20
10211,BT_LOOP,2375,11:50:00,2375,12:04:30
10212,BT_LOOP,2375,12:50:00,2375,13:04:30
10213,BT_LOOP,2375,13:10:00,2375,13:24:30
10214,BT_LOOP,2375,13:30:00,2375,13:44:30
10215,BT_LOOP,2375,13:50:00,2375,14:04:30
10216,BT_LOOP,2375,14:30:00,2375,14:44:30
10217,BT_LOOP,2375,14:50:00,2375,15:04:30
