name,start stop_id,end stop_id,900,930,1020,1120,1140,1300,1310,1420,1500,1540,1650,1700,1850,blank
West Remote to Okes,101,2670,1,1,1,1,1,1,1,1,1,1,1,1,1,
Oakes to Sci Hill,2670,2674,6,6,7,8,8,7,8,8,8,7,9,7,7,
Sci Hill to Cowell,2674,2676,3,4,4,5,5,5,5,5,7,5,6,5,5,
Cowell to Erm,2676,100,2,3,3,3,3,3,3,3,3,3,3,3,2,
