name,start stop_id,end stop_id,900,930,1020,1120,1140,1300,1310,1420,1500,1540,1650,1700,1850,blank
West Approach,2375,2670,3,3,3,3,3,3,3,3,3,3,3,3,3,
Oakes to Sci Hill,2670,2674,5,5,5,5,5,5,6,6,6,6,6,5,5,
Sci Hill to Cowell,2674,2676,3,4,4,5,5,5,5,5,7,5,6,5,5,
Cowell to Main Gt,2676,2375,6,7,6,6,6,6,8,6,8,6,8,6,6,
