name,start stop_id,end stop_id,600,800,1000,1400,1630,1730,1830,2100,2200,blank
East Remote to Cowell,100,2102,2,3,3,3,3,3,3,2,2,
Cowell to Sci Hill,2102,1615,3,4,4,5,5,5,5,5,4,
Sci Hill to Oakes,1615,1505,5,5,6,6,6,6,6,6,5,
Oakes to West Remote,1505,101,1,1,1,1,1,1,1,1,1,
