name,start stop_id,end stop_id,600,800,1000,1400,1630,1730,1830,2100,2200,blank
West Approach,2375,2670,2,2,2,2,2,2,2,2,2,
Oakes to Sci Hill,2670,2674,5,5,4,4,4,4,4,3,3,
Sci Hill to Cowell,2674,2676,3,3,2,2,2,2,2,2,2,
Cowell to Main Gt,2676,1341,4,4,4,4,4,4,4,4,4,
