trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
99104,11:00:00,11:00:00,1341,1,,,,,,0,1
99104,11:01:03,11:01:03,1342,2,,,,,,0.517,0
99104,11:02:15,11:02:15,2669,3,,,,,,1.107,0
99104,11:03:32,11:03:32,1501,4,,,,,,1.74,0
99104,11:04:15,11:04:15,2101,5,,,,,,2.09,0
99104,11:05:00,11:05:00,2102,6,,,,,,2.457,1
99104,11:05:24,11:05:24,1617,7,,,,,,2.638,0
99104,11:06:08,11:06:08,1616,8,,,,,,2.972,0
99104,11:07:00,11:07:00,1615,9,,,,,,3.36,1
99104,11:07:33,11:07:33,1509,10,,,,,,3.568,0
99104,11:09:43,11:09:43,2448,11,,,,,,4.384,0
99104,11:10:18,11:10:18,2516,12,,,,,,4.605,0
99104,11:11:00,11:11:00,1505,13,,,,,,4.868,1
99104,11:12:11,11:12:11,2328,14,,,,,,5.73,0
99104,11:13:05,11:13:05,2739,15,,,,,,6.391,0
99104,11:13:21,11:13:21,1510,16,,,,,,6.581,0
99104,11:14:00,11:14:00,1341,17,DROP OFF ONLY,,,1,,7.054,1
99105,11:20:00,11:20:00,1341,1,,,,,,0,1
99105,11:21:03,11:21:03,1342,2,,,,,,0.517,0
99105,11:22:15,11:22:15,2669,3,,,,,,1.107,0
99105,11:23:32,11:23:32,1501,4,,,,,,1.74,0
99105,11:24:15,11:24:15,2101,5,,,,,,2.09,0
99105,11:25:00,11:25:00,2102,6,,,,,,2.457,1
99105,11:25:24,11:25:24,1617,7,,,,,,2.638,0
99105,11:26:08,11:26:08,1616,8,,,,,,2.972,0
99105,11:27:00,11:27:00,1615,9,,,,,,3.36,1
99105,11:27:33,11:27:33,1509,10,,,,,,3.568,0
99105,11:29:43,11:29:43,2448,11,,,,,,4.384,0
99105,11:30:18,11:30:18,2516,12,,,,,,4.605,0
99105,11:31:00,11:31:00,1505,13,,,,,,4.868,1
99105,11:32:11,11:32:11,2328,14,,,,,,5.73,0
99105,11:33:05,11:33:05,2739,15,,,,,,6.391,0
99105,11:33:21,11:33:21,1510,16,,,,,,6.581,0
99105,11:34:00,11:34:00,1341,17,DROP OFF ONLY,,,1,,7.054,1
99106,11:40:00,11:40:00,1341,1,,,,,,0,1
99106,11:41:03,11:41:03,1342,2,,,,,,0.517,0
99106,11:42:15,11:42:15,2669,3,,,,,,1.107,0
