from_trip_id,to_trip_id,transfer_type,min_transfer_time
40513,40514,5,
40601,40602,5,
40602,40603,5,
40603,40604,5,
40604,40605,5,
40605,40606,5,
40606,40607,5,
40607,40608,5,
40608,40609,5,
40609,40610,5,
40610,40611,5,
40611,40612,5,
40612,40613,5,
40613,40614,5,
40614,40615,5,
41101,41102,5,
41102,41103,5,
41103,41104,5,
41104,41105,5,
41105,41106,5,
41106,41107,5,
41201,41202,5,
41202,41203,5,
41203,41204,5,
41204,41205,5,
41205,41206,5,
41206,41207,5,
41207,41208,5,
41208,41209,5,
41209,41210,5,
41210,41211,5,
41211,41212,5,
41212,41213,5,
41213,41214,5,
41214,41215,5,
41215,41216,5,
41216,41217,5,
41301,41302,5,
41302,41303,5,
41303,41304,5,
41401,41402,5,
41402,41403,5,
41403,41404,5,
41404,41405,5,
41405,41406,5,
41406,41407,5,
41407,41408,5,
41501,41502,5,
41502,41503,5,
41503,41504,5,
41504,41505,5,
41505,41506,5,
41506,41507,5,
41507,41508,5,
41508,41509,5,
41509,41510,5,
41510,41511,5,
41511,41512,5,
41512,41513,5,
41513,41514,5,
41514,41515,5,
41515,41516,5,
41516,41517,5,
41601,41602,5,
41602,41603,5,
41603,41604,5,
