arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,1341,1,1,
,,1342,2,0,
,,2669,3,0,
,,100,4,1,
,,1501,5,0,
,,2101,6,0,
,,2102,7,1,
,,1617,8,0,
,,1616,9,0,
,,1615,10,1,
,,1509,11,0,
,,2448,12,0,
,,2516,13,0,
,,1505,14,1,
,,2328,15,0,
,,2739,16,0,
,,1510,17,0,
,,1341,18,1,
