60101,16:30:00,1341,1,1
60101,,1342,2,0
60101,,2669,3,0
60101,,1501,4,0
60101,,2101,5,0
60101,16:35:00,2102,6,1
60101,,1617,7,0
60101,,1616,8,0
60101,16:39:00,1615,9,1
60101,,1509,10,0
60101,,2448,11,0
60101,,2516,12,0
60101,,1505,13,0
60101,16:44:00,101,14,1
60101,16:45:00,2670,15,1
60101,,2671,16,0
60101,,2672,17,0
60101,,2673,18,0
60101,16:49:00,2674,19,1
60101,,2675,20,0
60101,16:53:00,2676,21,1
60101,,2677,22,0
60101,,2678,23,0
60101,,2679,24,0
60101,16:58:00,1341,25,1
60102,17:0:00,1341,1,1
60102,,1342,2,0
60102,,2669,3,0
60102,,1501,4,0
60102,,2101,5,0
60102,17:5:00,2102,6,1
60102,,1617,7,0
60102,,1616,8,0
60102,17:9:00,1615,9,1
60102,,1509,10,0
60102,,2448,11,0
60102,,2516,12,0
60102,,1505,13,0
60102,17:14:00,101,14,1
60102,17:15:00,2670,15,1
60102,,2671,16,0
60102,,2672,17,0
60102,,2673,18,0
60102,17:19:00,2674,19,1
60102,,2675,20,0
60102,17:23:00,2676,21,1
60102,,2677,22,0
60102,,2678,23,0
60102,,2679,24,0
60102,17:28:00,1341,25,1
60103,17:30:00,1341,1,1
60103,,1342,2,0
60103,,2669,3,0
60103,,1501,4,0
60103,,2101,5,0
60103,17:35:00,2102,6,1
60103,,1617,7,0
60103,,1616,8,0
60103,17:40:00,1615,9,1
60103,,1509,10,0
60103,,2448,11,0
60103,,2516,12,0
60103,,1505,13,0
60103,17:45:00,101,14,1
60103,17:46:00,2670,15,1
60103,,2671,16,0
60103,,2672,17,0
60103,,2673,18,0
60103,17:50:00,2674,19,1
60103,,2675,20,0
60103,17:55:00,2676,21,1
60103,,2677,22,0
60103,,2678,23,0
60103,,2679,24,0
60103,18:0:00,1341,25,1
60104,18:0:00,1341,1,1
60104,,1342,2,0
60104,,2669,3,0
60104,,1501,4,0
60104,,2101,5,0
60104,18:5:00,2102,6,1
60104,,1617,7,0
60104,,1616,8,0
60104,18:10:00,1615,9,1
60104,,1509,10,0
60104,,2448,11,0
60104,,2516,12,0
60104,,1505,13,0
60104,18:15:00,101,14,1
60104,18:16:00,2670,15,1
60104,,2671,16,0
60104,,2672,17,0
60104,,2673,18,0
60104,18:20:00,2674,19,1
60104,,2675,20,0
60104,18:25:00,2676,21,1
60104,,2677,22,0
60104,,2678,23,0
60104,,2679,24,0
60104,18:30:00,1341,25,1
60105,19:0:00,1341,1,1
60105,,1342,2,0
60105,,2669,3,0
60105,,1501,4,0
60105,,2101,5,0
60105,19:5:00,2102,6,1
60105,,1617,7,0
60105,,1616,8,0
60105,19:9:00,1615,9,1
60105,,1509,10,0
60105,,2448,11,0
60105,,2516,12,0
60105,,1505,13,0
60105,19:14:00,101,14,1
60105,19:16:00,2670,15,1
60105,,2671,16,0
60105,,2672,17,0
60105,,2673,18,0
60105,19:20:00,2674,19,1
60105,,2675,20,0
60105,19:25:00,2676,21,1
60105,,2677,22,0
60105,,2678,23,0
60105,,2679,24,0
60105,19:30:00,1341,25,1
60106,19:30:00,1341,1,1
60106,,1342,2,0
60106,,2669,3,0
60106,,1501,4,0
60106,,2101,5,0
60106,19:35:00,2102,6,1
60106,,1617,7,0
60106,,1616,8,0
60106,19:39:00,1615,9,1
60106,,1509,10,0
60106,,2448,11,0
60106,,2516,12,0
60106,,1505,13,0
60106,19:44:00,101,14,1
60106,19:46:00,2670,15,1
60106,,2671,16,0
60106,,2672,17,0
60106,,2673,18,0
60106,19:50:00,2674,19,1
60106,,2675,20,0
60106,19:55:00,2676,21,1
