trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
90101,7:30:00,7:30:00,2375,1,,,,,,0,1
90101,07:30:20,07:30:20,2374,2,,,,,,0.37,0
90101,07:30:54,07:30:54,1385,3,,,,,,0.987,0
90101,7:32:00,7:32:00,2670,4,,,,,,2.193,1
90101,07:33:23,07:33:23,2671,5,,,,,,2.579,0
90101,07:35:09,07:35:09,2672,6,,,,,,3.069,0
90101,07:36:15,07:36:15,2673,7,,,,,,3.372,0
90101,7:37:00,7:37:00,2674,8,,,,,,3.58,1
90101,07:38:08,07:38:08,2675,9,,,,,,3.956,0
90101,7:40:00,7:40:00,2676,10,,,,,,4.578,1
90101,07:41:01,07:41:01,2677,11,,,,,,5.2,0
90101,07:42:03,07:42:03,2678,12,,,,,,5.834,0
90101,07:43:01,07:43:01,2679,13,,,,,,6.423,0
90101,7:44:00,7:44:00,2375,14,DROP OFF ONLY,1,,,,7.031,1
90102,7:50:00,7:50:00,2375,1,,,,,,0,1
90102,07:50:20,07:50:20,2374,2,,,,,,0.37,0
90102,07:50:54,07:50:54,1385,3,,,,,,0.987,0
90102,7:52:00,7:52:00,2670,4,,,,,,2.193,1
90102,07:53:23,07:53:23,2671,5,,,,,,2.579,0
90102,07:55:09,07:55:09,2672,6,,,,,,3.069,0
90102,07:56:15,07:56:15,2673,7,,,,,,3.372,0
90102,7:57:00,7:57:00,2674,8,,,,,,3.58,1
90102,07:58:08,07:58:08,2675,9,,,,,,3.956,0
90102,8:00:00,8:00:00,2676,10,,,,,,4.578,1
90102,08:01:01,08:01:01,2677,11,,,,,,5.2,0
90102,08:02:03,08:02:03,2678,12,,,,,,5.834,0
90102,08:03:01,08:03:01,2679,13,,,,,,6.423,0
90102,8:04:00,8:04:00,2375,14,DROP OFF ONLY,1,,,,7.031,1
90103,8:10:00,8:10:00,2375,1,,,,,,0,1
90103,08:10:20,08:10:20,2374,2,,,,,,0.37,0
90103,08:10:54,08:10:54,1385,3,,,,,,0.987,0
90103,8:12:00,8:12:00,2670,4,,,,,,2.193,1
90103,08:13:23,08:13:23,2671,5,,,,,,2.579,0
90103,08:15:09,08:15:09,2672,6,,,,,,3.069,0
90103,08:16:15,08:16:15,2673,7,,,,,,3.372,0
90103,8:17:00,8:17:00,2674,8,,,,,,3.58,1
90103,08:18:08,08:18:08,2675,9,,,,,,3.956,0
90103,8:20:00,8:20:00,2676,10,,,,,,4.578,1
90103,08:21:01,08:21:01,2677,11,,,,,,5.2,0
