route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LOOP,1,10101,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10102,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10103,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10104,Clockwise Loop,1,101,LOOP_INNER_TO_MG,,
LOOP,1,10105,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10106,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10107,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10108,Clockwise Loop,1,101,LOOP_INNER_TO_MG,,
LOOP,1,10109,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10110,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10111,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10112,Clockwise Loop,1,101,LOOP_INNER_TO_MG,,
LOOP,1,10113,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10114,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10115,Clockwise Loop,1,101,LOOP_INNER,,
LOOP,1,10116,Clockwise Loop,1,101,LOOP_INNER_TO_MG,,
LOOP,1,10201,Clockwise Loop,1,102,LOOP_INNER_TO_MG,,
LOOP,1,10202,Clockwise Loop,1,102,LOOP_INNER,,
LOOP,1,10203,Clockwise Loop,1,102,LOOP_INNER,,
LOOP,1,10204,Clockwise Loop,1,102,LOOP_INNER_TO_MG,,
LOOP,1,10205,Clockwise Loop,1,102,LOOP_INNER_TO_MG,,
LOOP,1,10206,Clockwise Loop,1,102,LOOP_INNER_TO_MG,,
LOOP,1,10301,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10302,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10303,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10304,Clockwise Loop,1,103,LOOP_INNER_TO_MG,,
LOOP,1,10305,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10306,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10307,Clockwise Loop,1,103,LOOP_INNER,,
LOOP,1,10308,Clockwise Loop,1,103,LOOP_INNER_TO_MG,,
LOOP,1,10401,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10402,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10403,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10404,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10405,Clockwise Loop,1,104,LOOP_INNER_TO_MG,,
LOOP,1,10406,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10407,Counter Clockwise Loop,0,104,LOOP_OUTER,,
LOOP,1,10408,Clockwise Loop,1,104,LOOP_INNER_TO_MG,,
